NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
PROTEIN SYNTHESIS: SERINE%PATHWHIZ%PW120517	PROTEIN SYNTHESIS: SERINE%PATHWHIZ%PW120517	Details ...	79	-0.94522023	-2.7274947	0.0	0.0	0.0	675	tags=92%, list=4%, signal=96%	
PROTEIN SYNTHESIS: LEUCINE%SMPDB%SMP0111873	PROTEIN SYNTHESIS: LEUCINE%SMPDB%SMP0111873	Details ...	79	-0.94529516	-2.718675	0.0	0.0	0.0	675	tags=92%, list=4%, signal=96%	
PROTEIN SYNTHESIS: ISOLEUCINE%SMPDB%SMP0111872	PROTEIN SYNTHESIS: ISOLEUCINE%SMPDB%SMP0111872	Details ...	79	-0.94529724	-2.7101042	0.0	0.0	0.0	675	tags=92%, list=4%, signal=96%	
FORMATION OF A POOL OF FREE 40S SUBUNITS%REACTOME%R-HSA-72689.3	FORMATION OF A POOL OF FREE 40S SUBUNITS%REACTOME%R-HSA-72689.3	Details ...	99	-0.918542	-2.7006955	0.0	0.0	0.0	676	tags=78%, list=5%, signal=81%	
PROTEIN SYNTHESIS: ASPARTIC ACID%SMPDB%SMP0111858	PROTEIN SYNTHESIS: ASPARTIC ACID%SMPDB%SMP0111858	Details ...	79	-0.94458824	-2.6988137	0.0	0.0	0.0	675	tags=92%, list=4%, signal=96%	
REGULATION OF EXPRESSION OF SLITS AND ROBOS%REACTOME DATABASE ID RELEASE 81%9010553	REGULATION OF EXPRESSION OF SLITS AND ROBOS%REACTOME DATABASE ID RELEASE 81%9010553	Details ...	161	-0.8776359	-2.6871884	0.0	0.0	0.0	836	tags=51%, list=6%, signal=53%	
CAP-DEPENDENT TRANSLATION INITIATION%REACTOME%R-HSA-72737.4	CAP-DEPENDENT TRANSLATION INITIATION%REACTOME%R-HSA-72737.4	Details ...	117	-0.9049279	-2.6737368	0.0	0.0	0.0	676	tags=67%, list=5%, signal=69%	
PROTEIN SYNTHESIS: GLUTAMINE%SMPDB%SMP0111862	PROTEIN SYNTHESIS: GLUTAMINE%SMPDB%SMP0111862	Details ...	79	-0.9455256	-2.6700873	0.0	0.0	0.0	675	tags=94%, list=4%, signal=98%	
NONSENSE-MEDIATED DECAY (NMD)%REACTOME%R-HSA-927802.4	NONSENSE-MEDIATED DECAY (NMD)%REACTOME%R-HSA-927802.4	Details ...	113	-0.90866804	-2.6658516	0.0	0.0	0.0	675	tags=66%, list=4%, signal=69%	
NONSENSE MEDIATED DECAY (NMD) INDEPENDENT OF THE EXON JUNCTION COMPLEX (EJC)%REACTOME DATABASE ID RELEASE 81%975956	NONSENSE MEDIATED DECAY (NMD) INDEPENDENT OF THE EXON JUNCTION COMPLEX (EJC)%REACTOME DATABASE ID RELEASE 81%975956	Details ...	93	-0.9247822	-2.6625059	0.0	0.0	0.0	675	tags=80%, list=4%, signal=83%	
L13A-MEDIATED TRANSLATIONAL SILENCING OF CERULOPLASMIN EXPRESSION%REACTOME DATABASE ID RELEASE 81%156827	L13A-MEDIATED TRANSLATIONAL SILENCING OF CERULOPLASMIN EXPRESSION%REACTOME DATABASE ID RELEASE 81%156827	Details ...	109	-0.90978986	-2.6591966	0.0	0.0	0.0	676	tags=72%, list=5%, signal=74%	
