NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_INTERFERON_ALPHA_RESPONSE%MSIGDBHALLMARK%HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE%MSIGDBHALLMARK%HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	83	0.85736316	3.036099	0.0	0.0	0.0	558	tags=49%, list=4%, signal=51%	
HALLMARK_INTERFERON_GAMMA_RESPONSE%MSIGDBHALLMARK%HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE%MSIGDBHALLMARK%HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	162	0.79129535	3.017285	0.0	0.0	0.0	1263	tags=45%, list=8%, signal=49%	
DEFENSE RESPONSE TO VIRUS%GOBP%GO:0051607	DEFENSE RESPONSE TO VIRUS%GOBP%GO:0051607	Details ...	165	0.74163747	2.7660704	0.0	0.0	0.0	982	tags=35%, list=7%, signal=37%	
REGULATION OF VIRAL GENOME REPLICATION%GOBP%GO:0045069	REGULATION OF VIRAL GENOME REPLICATION%GOBP%GO:0045069	Details ...	75	0.7440135	2.580649	0.0	0.0	0.0	1019	tags=36%, list=7%, signal=38%	
REGULATION OF VIRAL PROCESS%GOBP%GO:0050792	REGULATION OF VIRAL PROCESS%GOBP%GO:0050792	Details ...	136	0.6815079	2.573305	0.0	0.0	0.0	1019	tags=26%, list=7%, signal=28%	
SARS COV 2 INNATE IMMUNITY EVASION AND CELL SPECIFIC IMMUNE RESPONSE%WIKIPATHWAYS_20240310%WP5039%HOMO SAPIENS	SARS COV 2 INNATE IMMUNITY EVASION AND CELL SPECIFIC IMMUNE RESPONSE%WIKIPATHWAYS_20240310%WP5039%HOMO SAPIENS	Details ...	57	0.78970224	2.5119324	0.0	0.0	0.0	714	tags=35%, list=5%, signal=37%	
INTERFERON ALPHA BETA SIGNALING%REACTOME DATABASE ID RELEASE 81%909733	INTERFERON ALPHA BETA SIGNALING%REACTOME DATABASE ID RELEASE 81%909733	Details ...	62	0.8164283	2.511716	0.0	0.0	0.0	558	tags=35%, list=4%, signal=37%	
NEGATIVE REGULATION OF VIRAL PROCESS%GOBP%GO:0048525	NEGATIVE REGULATION OF VIRAL PROCESS%GOBP%GO:0048525	Details ...	74	0.7542404	2.4925354	0.0	0.0	0.0	1019	tags=41%, list=7%, signal=43%	
INTERFERON GAMMA SIGNALING%REACTOME%R-HSA-877300.7	INTERFERON GAMMA SIGNALING%REACTOME%R-HSA-877300.7	Details ...	88	0.68987507	2.480692	0.0	0.0	0.0	1068	tags=25%, list=7%, signal=27%	
NEGATIVE REGULATION OF VIRAL GENOME REPLICATION%GOBP%GO:0045071	NEGATIVE REGULATION OF VIRAL GENOME REPLICATION%GOBP%GO:0045071	Details ...	50	0.8064398	2.478613	0.0	0.0	0.0	1019	tags=54%, list=7%, signal=58%	
REGULATION OF VIRAL LIFE CYCLE%GOBP%GO:1903900	REGULATION OF VIRAL LIFE CYCLE%GOBP%GO:1903900	Details ...	117	0.6958302	2.4696062	0.0	0.0	0.0	1019	tags=30%, list=7%, signal=32%	
HALLMARK_INFLAMMATORY_RESPONSE%MSIGDBHALLMARK%HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE%MSIGDBHALLMARK%HALLMARK_INFLAMMATORY_RESPONSE	Details ...	157	0.61147434	2.3986564	0.0	0.0	0.0	1657	tags=38%, list=11%, signal=43%	
IMMUNE RESPONSE TO TUBERCULOSIS%WIKIPATHWAYS_20240310%WP4197%HOMO SAPIENS	IMMUNE RESPONSE TO TUBERCULOSIS%WIKIPATHWAYS_20240310%WP4197%HOMO SAPIENS	Details ...	19	0.87128395	2.3830326	0.0	0.0	0.0	216	tags=37%, list=1%, signal=37%	
PEPTIDE GPCRS%WIKIPATHWAYS_20240310%WP24%HOMO SAPIENS	PEPTIDE GPCRS%WIKIPATHWAYS_20240310%WP24%HOMO SAPIENS	Details ...	29	0.79787576	2.3376257	0.0	0.0	0.0	1743	tags=62%, list=12%, signal=70%	
POSITIVE REGULATION OF CHEMOKINE PRODUCTION%GOBP%GO:0032722	POSITIVE REGULATION OF CHEMOKINE PRODUCTION%GOBP%GO:0032722	Details ...	43	0.7536979	2.3309782	0.0	0.0	0.0	721	tags=26%, list=5%, signal=27%	
INTERFERON-MEDIATED SIGNALING PATHWAY%GOBP%GO:0140888	INTERFERON-MEDIATED SIGNALING PATHWAY%GOBP%GO:0140888	Details ...	32	0.79465646	2.3256567	0.0	0.0	0.0	859	tags=28%, list=6%, signal=30%	
CELLULAR RESPONSE TO TYPE I INTERFERON%GOBP%GO:0071357	CELLULAR RESPONSE TO TYPE I INTERFERON%GOBP%GO:0071357	Details ...	24	0.8744147	2.321298	0.0	0.0	0.0	216	tags=29%, list=1%, signal=30%	
CLASS A 1 (RHODOPSIN-LIKE RECEPTORS)%REACTOME%R-HSA-373076.10	CLASS A 1 (RHODOPSIN-LIKE RECEPTORS)%REACTOME%R-HSA-373076.10	Details ...	145	0.6477641	2.3146458	0.0	0.0	0.0	2006	tags=44%, list=13%, signal=50%	
RESPONSE TO TYPE II INTERFERON%GOBP%GO:0034341	RESPONSE TO TYPE II INTERFERON%GOBP%GO:0034341	Details ...	73	0.63566804	2.3098516	0.0	0.0	0.0	1088	tags=37%, list=7%, signal=40%	
ACTIVATION OF INNATE IMMUNE RESPONSE%GOBP%GO:0002218	ACTIVATION OF INNATE IMMUNE RESPONSE%GOBP%GO:0002218	Details ...	139	0.62092066	2.2983017	0.0	0.0	0.0	1530	tags=33%, list=10%, signal=37%	
GPCR LIGAND BINDING%REACTOME DATABASE ID RELEASE 81%500792	GPCR LIGAND BINDING%REACTOME DATABASE ID RELEASE 81%500792		193	0.5948974	2.2781918	0.0	0.0	0.0	2006	tags=38%, list=13%, signal=43%	
GPCRS CLASS A RHODOPSIN LIKE%WIKIPATHWAYS_20240310%WP455%HOMO SAPIENS	GPCRS CLASS A RHODOPSIN LIKE%WIKIPATHWAYS_20240310%WP455%HOMO SAPIENS		90	0.69703907	2.2548692	0.0	0.0	0.0	2116	tags=51%, list=14%, signal=59%	
CELLULAR RESPONSE TO MOLECULE OF BACTERIAL ORIGIN%GOBP%GO:0071219	CELLULAR RESPONSE TO MOLECULE OF BACTERIAL ORIGIN%GOBP%GO:0071219		116	0.62956846	2.2495532	0.0	0.0	0.0	1989	tags=34%, list=13%, signal=39%	
TYPE I INTERFERON INDUCTION AND SIGNALING DURING SARS COV 2 INFECTION%WIKIPATHWAYS_20240310%WP4868%HOMO SAPIENS	TYPE I INTERFERON INDUCTION AND SIGNALING DURING SARS COV 2 INFECTION%WIKIPATHWAYS_20240310%WP4868%HOMO SAPIENS		27	0.8173432	2.2489145	0.0	0.0	0.0	1194	tags=44%, list=8%, signal=48%	
REGULATION OF TYPE I INTERFERON PRODUCTION%GOBP%GO:0032479	REGULATION OF TYPE I INTERFERON PRODUCTION%GOBP%GO:0032479		105	0.6625351	2.2484431	0.0	0.0	0.0	1565	tags=27%, list=10%, signal=30%	
INTERLEUKIN-10 SIGNALING%REACTOME DATABASE ID RELEASE 81%6783783	INTERLEUKIN-10 SIGNALING%REACTOME DATABASE ID RELEASE 81%6783783		41	0.74648666	2.2429807	0.0	0.0	0.0	1979	tags=46%, list=13%, signal=53%	
RESPONSE TO TYPE I INTERFERON%GOBP%GO:0034340	RESPONSE TO TYPE I INTERFERON%GOBP%GO:0034340		32	0.8488183	2.2426045	0.0	0.0	0.0	216	tags=25%, list=1%, signal=25%	
CHEMOKINE RECEPTORS BIND CHEMOKINES%REACTOME%R-HSA-380108.6	CHEMOKINE RECEPTORS BIND CHEMOKINES%REACTOME%R-HSA-380108.6		41	0.77543414	2.2325225	0.0	0.0	0.0	1979	tags=51%, list=13%, signal=59%	
