"logFC" "logCPM" "F" "PValue" "FDR"
"RPLP1" -4.62250925320869 7.26627333665023 251.360513015234 1.48784577735289e-46 2.23325651180669e-42
"RPL13A" -3.47601347338475 8.49167161958468 227.324866049355 5.94857798514007e-43 4.46440777784762e-39
"RPL13" -3.21037395942205 7.7698716921714 191.993087668472 1.93449416002579e-37 9.67891911399568e-34
"RPS18" -2.93331951273482 7.88684242717367 178.333365312134 3.10476856667501e-35 1.1650644046448e-31
"RPS8" -3.13779473360627 7.70866774407742 175.793471334901 8.07095809111672e-35 2.42290161895324e-31
"RPS3A" -2.64150724969977 8.23809808220518 156.055830960331 1.52920559987315e-31 3.82556267568265e-28
"IFIT1" 4.45454460219838 9.45640498177142 150.383833527983 1.39427944317721e-30 2.98973349172713e-27
"RPS21" -4.74170582839428 4.25900546918181 149.212869921143 2.20569435896247e-30 4.13843404100333e-27
"XAF1" 2.93645469514822 8.79395892034587 147.06850412144 5.11979388802076e-30 8.53867847324351e-27
"IGFBP2" -4.23742047971218 4.97222932184759 145.192068183235 1.07214141697497e-29 1.60928426687943e-26
"OAS3" 3.60335639444003 9.42606395125633 143.92343646202 1.76929369363061e-29 2.41428166739959e-26
"OAZ1" -3.68987742260733 5.44675880293922 141.215577724144 5.17100353685578e-29 6.46806359068377e-26
"OAS2" 3.20146291830483 9.18011441108859 139.663715117782 9.58051674321124e-29 1.1061812024277e-25
"RPS19" -3.55502471278445 6.07127827818344 139.129491029632 1.18503830181776e-28 1.27053035073461e-25
"RPL3" -2.3735690564805 8.26789206702763 138.063632934943 1.81217782328518e-28 1.81338594183403e-25
"PRDX5" -3.07602849990021 6.36996431031678 137.340346893001 2.41854723106898e-28 2.26889962114658e-25
"IFI44L" 3.53680335547129 9.02737082700373 135.774778512092 4.52241412780724e-28 3.99302565049333e-25
"RPL26" -2.57217143062011 7.14474427645322 134.948488426911 6.29651316463305e-28 5.25059236673012e-25
"RPLP0" -2.56065645872239 8.32349514823099 132.729813186343 1.53444715493217e-27 1.21221325239641e-24
"RPL37" -2.31746519299279 7.0526626896026 131.177292985611 2.86718391802219e-27 2.15182153047566e-24
"RPS5" -3.55691525359649 6.21946394014401 127.655923516739 1.19054008081174e-26 8.5095269585639e-24
"EEF2" -2.60040576442228 8.26782632363184 126.65391119749 1.78776875106079e-26 1.21974586151921e-23
"S100A6" -2.83051424817107 6.5837303294086 125.516972073303 2.83789287746008e-26 1.85203356915981e-23
"CXCL10" 6.85213749588352 8.31370518003082 122.962616559141 8.03905460955325e-26 5.02775873705809e-23
"RPLP2" -3.12672264970701 5.93313254662989 121.625460327293 1.38888808695858e-25 8.33888407409932e-23
"ROMO1" -4.6951639377338 2.73834396499747 121.404291419635 1.52052415941032e-25 8.77810293567264e-23
"IFIT3" 3.64471976167607 9.36634443241528 120.500868566205 2.20179374504743e-25 1.2240342264134e-22
"CRIP1" -4.06155785704811 5.26113944279574 119.765177156668 2.97770555692591e-25 1.59626287176635e-22
"IFIT2" 4.34909257466389 9.72045236353278 118.312130595441 5.41106657599704e-25 2.80069342433502e-22
"LGALS3" -2.30313545580411 6.67427596965509 117.522361281047 7.4908415431407e-25 3.7479177187514e-22
"EZR" -1.61623805399311 8.94410064193995 116.34492342139 1.21744206986152e-24 5.8947759576198e-22
"RPL32" -2.44242261958997 7.30884257197765 115.656235326802 1.61808877045461e-24 7.58984763891368e-22
"IGFBP7" -3.36821598527593 6.36664627185537 113.723776460898 3.60111807118775e-24 1.63796309844024e-21
"RRAD" -3.88474247159975 5.00295994203999 112.372166361775 6.31096863958366e-24 2.78610703765149e-21
"RPL35" -3.38122669812553 5.69152839108592 110.394248096704 1.43759958556045e-23 6.16524850836067e-21
"RPS29" -2.79488674301354 5.50249259259998 109.474006575449 2.11049766062144e-23 8.79960274609104e-21
"CAPS" -2.82506597990723 6.55429486163126 109.34220852326 2.22990997689851e-23 8.86146581757294e-21
"RPL34" -2.51606895282046 6.3002270034262 109.327757313021 2.24340906773999e-23 8.86146581757294e-21
"RPS14" -2.28218060513955 7.40412226315957 108.032545581019 3.85555655286561e-23 1.4838949707311e-20
"RPL21" -2.05090220417111 7.63192033565596 104.864934793202 1.4567486007769e-22 5.41366151846015e-20
"GBP1" 3.06831572555985 8.85523810626125 104.829311801825 1.47874831616833e-22 5.41366151846015e-20
"RPL10A" -2.65961417214565 6.32716840070757 104.718107065145 1.54959435186976e-22 5.53795505275359e-20
